domain,pagerank
comsoc.org,0.04545
csitss.ieee-rvce.org,0.04863
facebook.com,0.04488
fh-dortmund.de,0.04545
gmpg.org,0.04488
goo.gl,0.04545
grievance.rvce.edu.in,0.04488
ieee-rvce.org,0.04545
ieeebangalore.org,0.04545
instagram.com,0.04488
linkedin.com,0.04488
maps.app.goo.gl,0.04488
rosenheim.de,0.04545
rvce.edu.in,0.04863
rvce.rveducationalinstitutions.com,0.04488
sdu.dk,0.04545
sensorscouncil.ieeebangalore.org,0.04545
swayam.gov.in,0.04488
thws.de,0.04545
twitter.com,0.04488
vlab.co.in,0.04488
vlabs.co.on,0.04488
