domain,pagerank_score
vlab.co.in,0.044876
swayam.gov.in,0.044876
twitter.com,0.044876
rvce.rveducationalinstitutions.com,0.044876
instagram.com,0.044876
rvce.edu.in,0.048634
grievance.rvce.edu.in,0.044876
vlabs.co.on,0.044876
goo.gl,0.045455
csitss.ieee-rvce.org,0.048634
comsoc.org,0.045455
linkedin.com,0.044876
thws.de,0.045455
ieee-rvce.org,0.045455
gmpg.org,0.044876
maps.app.goo.gl,0.044876
facebook.com,0.044876
ieeebangalore.org,0.045455
sensorscouncil.ieeebangalore.org,0.045455
sdu.dk,0.045455
fh-dortmund.de,0.045455
rosenheim.de,0.045455
