topo_rank,scc_id,size,representative_domain
0,20,2,rvce.edu.in
1,0,1,gmpg.org
2,10,1,maps.app.goo.gl
3,11,1,facebook.com
4,12,1,instagram.com
5,13,1,linkedin.com
6,14,1,twitter.com
7,15,1,grievance.rvce.edu.in
8,16,1,swayam.gov.in
9,17,1,vlab.co.in
10,18,1,vlabs.co.on
11,19,1,rvce.rveducationalinstitutions.com
12,1,1,ieeebangalore.org
13,2,1,comsoc.org
14,3,1,sensorscouncil.ieeebangalore.org
15,4,1,sdu.dk
16,5,1,thws.de
17,6,1,rosenheim.de
18,7,1,fh-dortmund.de
19,8,1,goo.gl
20,9,1,ieee-rvce.org
